"","Vial","Genotype","Treatment","Days","Dead1Excluded0"
"1.213","6","dcr;VT64246","DMSO",3,0
"1.39","6","dcr;VT64246","DMSO",3,0
"1.47","6","dcr;VT64246","DMSO",3,0
"1.55","6","dcr;VT64246","DMSO",3,0
"1.65","6","dcr;VT64246","DMSO",3,0
"1.75","6","dcr;VT64246","DMSO",3,0
"1.85","6","dcr;VT64246","DMSO",3,0
"1.95","6","dcr;VT64246","DMSO",3,0
"1.104","6","dcr;VT64246","DMSO",3,0
"1.1111","6","dcr;VT64246","DMSO",3,0
"1.124","6","dcr;VT64246","DMSO",3,0
"1.134","6","dcr;VT64246","DMSO",3,0
"1.143","6","dcr;VT64246","DMSO",3,0
"1.153","6","dcr;VT64246","DMSO",3,0
"128","7","WCS10","DRUG",3,0
"1.125","7","WCS10","DRUG",3,0
"1.214","7","WCS10","DRUG",3,0
"1.310","7","WCS10","DRUG",3,0
"1.48","7","WCS10","DRUG",3,0
"1.56","7","WCS10","DRUG",3,0
"1.66","7","WCS10","DRUG",3,0
"1.76","7","WCS10","DRUG",3,0
"1.86","7","WCS10","DRUG",3,0
"1.96","7","WCS10","DRUG",3,0
"1.105","7","WCS10","DRUG",3,0
"1.1112","7","WCS10","DRUG",3,0
"1.126","7","WCS10","DRUG",3,0
"1.135","7","WCS10","DRUG",3,0
"129","8","WCS10","DMSO",3,0
"1.127","8","WCS10","DMSO",3,0
"1.215","8","WCS10","DMSO",3,0
"1.311","8","WCS10","DMSO",3,0
"1.49","8","WCS10","DMSO",3,0
"1.57","8","WCS10","DMSO",3,0
"1.67","8","WCS10","DMSO",3,0
"1.77","8","WCS10","DMSO",3,0
"1.87","8","WCS10","DMSO",3,0
"1.97","8","WCS10","DMSO",3,0
"1.106","8","WCS10","DMSO",3,0
"1.1113","8","WCS10","DMSO",3,0
"1.128","8","WCS10","DMSO",3,0
"1.136","8","WCS10","DMSO",3,0
"1.144","8","WCS10","DMSO",3,0
"1.154","8","WCS10","DMSO",3,0
"1.163","8","WCS10","DMSO",3,0
"1.173","8","WCS10","DMSO",3,0
"130","9","WCS10","DRUG",3,0
"1.129","9","WCS10","DRUG",3,0
"1.216","9","WCS10","DRUG",3,0
"1.312","9","WCS10","DRUG",3,0
"1.410","9","WCS10","DRUG",3,0
"1.58","9","WCS10","DRUG",3,0
"1.68","9","WCS10","DRUG",3,0
"1.78","9","WCS10","DRUG",3,0
